trial,target_class,stim_count,isi0,isi1,isi2,isi3,neuron_fired,neuron_t_rel,match,late_fired,late_t_rel,error_class,ltz_potential_max,soma_amp_0,soma_amp_1,soma_amp_2,soma_amp_3,soma_amp_sum
0,1,4,0.08,0.16,0.24,,1,0.8605,1,0,-1,ok,0,0,0,0,0,0.0728367
1,0,4,0.24,0.16,0.08,,0,-1,1,1,1.2125,late_fp,0,0,0,0,0,0.072845
2,0,4,0.16,0.08,0.24,,1,0.958,0,0,-1,fp,0,0,0,0,0,0.0728801
3,0,4,0.16,0.16,0.16,,0,-1,1,0,-1,ok,0,0,0,0,0,0.055879
4,0,4,0.02,0.22,0.24,,0,-1,1,0,-1,ok,0,0,0,0,0,0.0718661
5,0,4,0.24,0.22,0.02,,0,-1,1,0,-1,ok,0,0,0,0,0,0.07214
6,0,4,0.04,0.04,0.4,,1,0.7665,0,0,-1,fp,0,0,0,0,0,0.0750807
7,0,4,0.4,0.04,0.04,,0,-1,1,1,1.17,late_fp,0,0,0,0,0,0.0728151
