exp	neuron	span_ms	kind
EXP_span100ms_gen	NSPNeuronGenD002C25e11	100	fast_ltzcal
EXP_span100ms_preinh25	NSPNeuronGenPreinh2_5D002C25e11	100	preinh_ltzcal
EXP_span50ms_gen	NSPNeuronGenD002C25e11	50	fast_ltzcal
EXP_span50ms_preinh25	NSPNeuronGenPreinh2_5D002C25e11	50	preinh_ltzcal
EXP_span25ms_gen	NSPNeuronGenD002C25e11	25	fast_ltzcal
EXP_span25ms_preinh25	NSPNeuronGenPreinh2_5D002C25e11	25	preinh_ltzcal
