exp	neuron	pattern	golden_exp	golden_acc	golden_L	golden_FixedLTZ
EXP_baseline_gen	NSPNeuronGen	full480	EXP00_baseline_margprops	5/8	49 41 25 1	0.01281123537910517
EXP_baseline_preinh25	NSPNeuronGenPreinh2_5	full480	EXP04_preinh_250_margprops	6/8	49 41 25 1	0.030173643466603391
