trial,target_class,stim_count,isi0,isi1,isi2,isi3,neuron_fired,neuron_t_rel,match,ltz_potential_max,soma_amp_0,soma_amp_1,soma_amp_2,soma_amp_3,soma_amp_sum
0,1,4,0.08,0.16,0.24,,1,0.898,1,0,0,0,0,0,0.0649962
1,0,4,0.24,0.16,0.08,,0,-1,1,0,0,0,0,0,0.0340111
2,0,4,0.16,0.08,0.24,,0,-1,1,0,0,0,0,0,0.062875
3,0,4,0.16,0.16,0.16,,0,-1,1,0,0,0,0,0,0.0492751
4,0,4,0.02,0.22,0.24,,0,-1,1,0,0,0,0,0,0.0637392
5,0,4,0.24,0.22,0.02,,0,-1,1,0,0,0,0,0,0.0344626
6,0,4,0.04,0.04,0.4,,1,0.804,0,0,0,0,0,0,0.0675592
7,0,4,0.4,0.04,0.04,,0,-1,1,0,0,0,0,0,0.0328882
