exp,blocker,feasibility_verdict,L_actual,L_target,EstDelayPerSeg,iter_count,iter_budget_required,IsNeedToTrain,FixedLTZ,log_status
EXP_span25ms_packA_gen,LENGTH_STALL,AMP_PENDING,6 5 3 1,6 5 3 1,0.0052083325,,7,1,0.0115,unknown
EXP_span25ms_packA_preinh,LENGTH_STALL,TIMING_MISMATCH,6 5 4 1,6 5 3 1,0.005,,7,1,0.0115,unknown
EXP_span100ms_packA_preinh,LENGTH_STALL,TIMING_MISMATCH,9 17 12 1,20 17 11 1,0.00520833125,,19,1,0.0115,unknown
