exp,blocker,feasibility_verdict,L_actual,L_target,EstDelayPerSeg,iter_count,iter_budget_required,IsNeedToTrain,FixedLTZ,log_status
EXP_span100ms_packA_gen,DONE,TIMING_MISMATCH,9 17 1 1,1 1 1 1,0.0125,,10,1,0.0115,unknown
EXP_span100ms_packA_preinh,LENGTH_STALL,TIMING_MISMATCH,9 17 12 1,1 1 1 1,0.00520833125,,19,1,0.0115,unknown
EXP_span50ms_packA_gen,LENGTH_STALL,L_BELOW_REFERENCE,9 9 6 1,9 9 7 1,0.0052083375,,10,1,0.0115,unknown
EXP_span50ms_packA_preinh,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 9 6 1,0.00625000375,,10,1,0.0115,unknown
EXP_span25ms_packA_gen,AMP_PENDING,AMP_PENDING,6 5 4 1,6 5 4 1,0.005,,7,1,0.0115,unknown
EXP_span25ms_packA_preinh,LENGTH_STALL,AMP_PENDING,6 5 4 1,6 5 4 1,0.005,,7,1,0.0115,unknown
