exp,verdict,EstDelayPerSeg,L_target,L_actual,delta_L,iter_budget_required,iter_count,GTS,IsNeedToTrain
EXP_span25ms_packA_gen,TIMING_MISMATCH,0.0052083325,6 5 3 1,6 5 1 1,0 0 -2 0,7,,20000,1
EXP_span25ms_packA_preinh,TIMING_MISMATCH,0.0052083325,6 5 3 1,6 5 1 1,0 0 -2 0,7,,20000,1
EXP_span100ms_packA_preinh,NEEDS_MORE_TIME,0.0125,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,20000,1
