dissoc,isi,freq,cell,ok,peak1,peak2,t_peak1,t_peak2,trough,sep,gate_pass,npeaks
0.001,0.0167,59.880239520958085,D001_ISI100,1,8.72093023255814e-09,8.72093023357339e-09,0.0505,0.067,4.060999598614005e-18,0.9999999995343386,1,3
0.001,0.0042,238.0952380952381,D001_ISI25,1,8.72093023255814e-09,8.75499636627907e-09,0.0505,0.0545,1.3626453488372094e-10,0.984375,1,3
0.001,0.0083,120.48192771084337,D001_ISI50,1,8.72093023255814e-09,8.721063303392987e-09,0.0505,0.0585,5.322833393895349e-13,0.9999389648437501,1,3
0.002,0.0167,59.880239520958085,D002_ISI100,1,8.72093023255814e-09,8.721222245423606e-09,0.0505,0.067,1.168051461867829e-12,0.9998660634323725,1,3
0.002,0.0042,238.0952380952381,D002_ISI25,1,8.72093023255814e-09,9.10896478697311e-09,0.0505,0.0545,1.5521382176598838e-09,0.822021484375,1,3
0.002,0.0083,120.48192771084337,D002_ISI50,1,8.72093023255814e-09,8.759777502936507e-09,0.0505,0.0585,1.5538908151346585e-10,0.9821820519864558,1,3
0.005,0.0167,59.880239520958085,D005_ISI100,1,8.72093023255814e-09,8.804110557662125e-09,0.0505,0.067,3.327213004159412e-10,0.9618479575523053,1,3
0.005,0.0042,238.0952380952381,D005_ISI25,1,8.72093023255814e-09,9.879595203488371e-09,0.0505,0.0545,4.634659883720931e-09,0.468559,1,3
0.005,0.0083,120.48192771084337,D005_ISI50,1,8.72093023255814e-09,9.219697509919208e-09,0.0505,0.0585,1.9950691094442734e-09,0.7712320754503901,1,3
