exp	neuron	span_ms	kind
EXP_span50ms_fast	NSPNeuronGenD002C25e11	50	fast
EXP_span50ms_fast_preinh	NSPNeuronGenPreinh2_5	50	preinh
EXP_span25ms_fast	NSPNeuronGenD002C25e11	25	fast
EXP_span25ms_fast_preinh	NSPNeuronGenPreinh2_5	25	preinh
