cell,path,stat_csv,ok,peak,t_peak,fwhm,rise10_90,t_tail10,t0,t_end,n,dissoc,steps_per_tau
D0005,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D0005,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D0005/StatisticLog/SynapseUnderTest.Output.txt,1,8.72093023255814e-09,0.0505,0.0014999999999999944,0.0005000000000000004,0.0004999999999999935,0.0,2.9995,6000,0.0005,1.0
D001,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D001,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D001/StatisticLog/SynapseUnderTest.Output.txt,1,8.72093023255814e-09,0.0505,0.001999999999999995,0.0005000000000000004,0.001999999999999995,0.0,2.9995,6000,0.001,2.0
D002,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D002,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D002/StatisticLog/SynapseUnderTest.Output.txt,1,8.72093023255814e-09,0.0505,0.0024999999999999953,0.0005000000000000004,0.004499999999999997,0.0,2.9995,6000,0.002,4.0
D005,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D005,/home/user/Nmsdk/Bin/Configs/SpikeSamples/NeuralElements/SynapseBioTcSweep/cells/D005/StatisticLog/SynapseUnderTest.Output.txt,1,8.72093023255814e-09,0.0505,0.004499999999999997,0.0005000000000000004,0.010999999999999996,0.0,2.9995,6000,0.005,10.0
