rel_path	size_bytes	archive	status
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_preinh/Test/StatisticLog	597315220	LtzCal__AsymRmLtzCal__EXP_span25ms_packA_preinh__Test__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_preinh/Test/StatisticLog	382922199	LtzCal__AsymRmLtzCal__EXP_span50ms_packA_preinh__Test__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_preinh/Test/StatisticLog	213212385	LtzCal__AsymRmLtzCal__EXP_span100ms_packA_preinh__Test__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_preinh/Test/StatisticLog	597315220	LtzCal__AsymRmLtzCal__EXP_span25ms_packA_preinh__Test__StatisticLog.tar.gz	ok
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_preinh/Test/StatisticLog	382922199	LtzCal__AsymRmLtzCal__EXP_span50ms_packA_preinh__Test__StatisticLog.tar.gz	ok
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_preinh/Test/StatisticLog	213212385	LtzCal__AsymRmLtzCal__EXP_span100ms_packA_preinh__Test__StatisticLog.tar.gz	ok
